"year","creditorEntity","debtorCountry","series","data"
1999,"008","AFG","DT.INR.DPPG",NA
2000,"008","AFG","DT.INR.DPPG",NA
2001,"008","AFG","DT.INR.DPPG",NA
2002,"008","AFG","DT.INR.DPPG",NA
2003,"008","AFG","DT.INR.DPPG",NA
2004,"008","AFG","DT.INR.DPPG",NA
2005,"008","AFG","DT.INR.DPPG",NA
2006,"008","AFG","DT.INR.DPPG",NA
2007,"008","AFG","DT.INR.DPPG",NA
2008,"008","AFG","DT.INR.DPPG",NA
2009,"008","AFG","DT.INR.DPPG",NA
2010,"008","AFG","DT.INR.DPPG",NA
2011,"008","AFG","DT.INR.DPPG",NA
2012,"008","AFG","DT.INR.DPPG",NA
2013,"008","AFG","DT.INR.DPPG",NA
2014,"008","AFG","DT.INR.DPPG",NA
2015,"008","AFG","DT.INR.DPPG",NA
2016,"008","AFG","DT.INR.DPPG",NA
2017,"008","AFG","DT.INR.DPPG",NA
2018,"008","AFG","DT.INR.DPPG",NA
2019,"008","AFG","DT.INR.DPPG",NA
2020,"008","AFG","DT.INR.DPPG",NA
2021,"008","AFG","DT.INR.DPPG",NA
2022,"008","AFG","DT.INR.DPPG",NA
2023,"008","AFG","DT.INR.DPPG",NA
1990,"009","AFG","DT.INR.DPPG",NA
1991,"009","AFG","DT.INR.DPPG",NA
1992,"009","AFG","DT.INR.DPPG",NA
1993,"009","AFG","DT.INR.DPPG",NA
1994,"009","AFG","DT.INR.DPPG",NA
1995,"009","AFG","DT.INR.DPPG",NA
1996,"009","AFG","DT.INR.DPPG",NA
1997,"009","AFG","DT.INR.DPPG",NA
1998,"009","AFG","DT.INR.DPPG",NA
1999,"009","AFG","DT.INR.DPPG",NA
2000,"009","AFG","DT.INR.DPPG",NA
2001,"009","AFG","DT.INR.DPPG",NA
2002,"009","AFG","DT.INR.DPPG",NA
2003,"009","AFG","DT.INR.DPPG",NA
2004,"009","AFG","DT.INR.DPPG",NA
2005,"009","AFG","DT.INR.DPPG",NA
2006,"009","AFG","DT.INR.DPPG",NA
2007,"009","AFG","DT.INR.DPPG",NA
2008,"009","AFG","DT.INR.DPPG",NA
2009,"009","AFG","DT.INR.DPPG",NA
2010,"009","AFG","DT.INR.DPPG",NA
2011,"009","AFG","DT.INR.DPPG",NA
2012,"009","AFG","DT.INR.DPPG",NA
2013,"009","AFG","DT.INR.DPPG",NA
2014,"009","AFG","DT.INR.DPPG",NA
2015,"009","AFG","DT.INR.DPPG",NA
2016,"009","AFG","DT.INR.DPPG",NA
2017,"009","AFG","DT.INR.DPPG",NA
2018,"009","AFG","DT.INR.DPPG",NA
2019,"009","AFG","DT.INR.DPPG",NA
2020,"009","AFG","DT.INR.DPPG",NA
2021,"009","AFG","DT.INR.DPPG",NA
2022,"009","AFG","DT.INR.DPPG",NA
2023,"009","AFG","DT.INR.DPPG",NA
1990,"010","AFG","DT.INR.DPPG",NA
1991,"010","AFG","DT.INR.DPPG",NA
1992,"010","AFG","DT.INR.DPPG",NA
1993,"010","AFG","DT.INR.DPPG",NA
1994,"010","AFG","DT.INR.DPPG",NA
1995,"010","AFG","DT.INR.DPPG",NA
1996,"010","AFG","DT.INR.DPPG",NA
1997,"010","AFG","DT.INR.DPPG",NA
1998,"010","AFG","DT.INR.DPPG",NA
1999,"010","AFG","DT.INR.DPPG",NA
2000,"010","AFG","DT.INR.DPPG",NA
2001,"010","AFG","DT.INR.DPPG",NA
2002,"010","AFG","DT.INR.DPPG",NA
2003,"010","AFG","DT.INR.DPPG",NA
2004,"010","AFG","DT.INR.DPPG",NA
2005,"010","AFG","DT.INR.DPPG",NA
2006,"010","AFG","DT.INR.DPPG",NA
2007,"010","AFG","DT.INR.DPPG",NA
2008,"010","AFG","DT.INR.DPPG",NA
2009,"010","AFG","DT.INR.DPPG",NA
2010,"010","AFG","DT.INR.DPPG",NA
2011,"010","AFG","DT.INR.DPPG",NA
2012,"010","AFG","DT.INR.DPPG",NA
2013,"010","AFG","DT.INR.DPPG",NA
2014,"010","AFG","DT.INR.DPPG",NA
2015,"010","AFG","DT.INR.DPPG",NA
2016,"010","AFG","DT.INR.DPPG",NA
2017,"010","AFG","DT.INR.DPPG",NA
2018,"010","AFG","DT.INR.DPPG",NA
2019,"010","AFG","DT.INR.DPPG",NA
2020,"010","AFG","DT.INR.DPPG",NA
2021,"010","AFG","DT.INR.DPPG",NA
2022,"010","AFG","DT.INR.DPPG",NA
2023,"010","AFG","DT.INR.DPPG",NA
1990,"011","AFG","DT.INR.DPPG",NA
1991,"011","AFG","DT.INR.DPPG",NA
1992,"011","AFG","DT.INR.DPPG",NA
1993,"011","AFG","DT.INR.DPPG",NA
1994,"011","AFG","DT.INR.DPPG",NA
1995,"011","AFG","DT.INR.DPPG",NA
1996,"011","AFG","DT.INR.DPPG",NA
1997,"011","AFG","DT.INR.DPPG",NA
1998,"011","AFG","DT.INR.DPPG",NA
1999,"011","AFG","DT.INR.DPPG",NA
2000,"011","AFG","DT.INR.DPPG",NA
2001,"011","AFG","DT.INR.DPPG",NA
2002,"011","AFG","DT.INR.DPPG",NA
2003,"011","AFG","DT.INR.DPPG",NA
2004,"011","AFG","DT.INR.DPPG",NA
2005,"011","AFG","DT.INR.DPPG",NA
2006,"011","AFG","DT.INR.DPPG",NA
2007,"011","AFG","DT.INR.DPPG",NA
2008,"011","AFG","DT.INR.DPPG",NA
